"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046942","carboxylic acid transport","27/763","76/5539",0.355263157894737,2.5790335931572,5.53973705103705,1.27611320889263e-06,3.13498478317957e-05,3.13498478317957e-05,"YNR002C/YDR508C/YNL065W/YBR043C/YAR035W/YGR243W/YKL217W/YKR013W/YOR222W/YJL193W/YAL067C/YOR317W/YGR191W/YCL025C/YGR055W/YJR095W/YMR241W/YDL210W/YHL036W/YBR069C/YJL079C/YNL101W/YOR348C/YPL265W/YBR068C/YGR260W/YER119C",27
"GO:0015849","organic acid transport","27/763","77/5539",0.350649350649351,2.54553965038893,5.45828554402563,1.71308757489285e-06,4.13949358260995e-05,4.13949358260995e-05,"YNR002C/YDR508C/YNL065W/YBR043C/YAR035W/YGR243W/YKL217W/YKR013W/YOR222W/YJL193W/YAL067C/YOR317W/YGR191W/YCL025C/YGR055W/YJR095W/YMR241W/YDL210W/YHL036W/YBR069C/YJL079C/YNL101W/YOR348C/YPL265W/YBR068C/YGR260W/YER119C",27
"GO:0009132","nucleoside diphosphate metabolic process","17/763","37/5539",0.459459459459459,3.33544684920832,5.69661858708544,2.0756872981331e-06,4.93477915717451e-05,4.93477915717451e-05,"YDL021W/YDR226W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0006753","nucleoside phosphate metabolic process","61/763","249/5539",0.244979919678715,1.77843220851953,5.02341687553935,2.4605259065879e-06,5.75684950208027e-05,5.75684950208027e-05,"YNR001C/YKR080W/YJL116C/YDL004W/YLR174W/YDL021W/YPL061W/YER055C/YDR226W/YNL129W/YDR050C/YMR169C/YOR222W/YPR020W/YJR009C/YJR010W/YER037W/YOR317W/YDL166C/YML022W/YMR315W/YNL241C/YPL271W/YKL016C/YDR400W/YKL001C/YHR202W/YOR128C/YML075C/YLR377C/YGR248W/YMR271C/YGR043C/YPL075W/YGL126W/YOL136C/YOR095C/YMR170C/YOR344C/YGR256W/YCR012W/YNL141W/YGL234W/YOL077W-A/YJR121W/YDR322C-A/YMR207C/YIL155C/YKL152C/YLR231C/YKL060C/YHR174W/YBR117C/YLR295C/YJL052W/YML081C-A/YBR196C/YAL038W/YLR446W/YDL055C/YGR240C",61
"GO:0006071","glycerol metabolic process","10/763","15/5539",0.666666666666667,4.83966797728266,5.95139878515387,3.63015451861532e-06,8.36069962568591e-05,8.36069962568591e-05,"YER062C/YDR050C/YOL059W/YDL022W/YFL053W/YPL201C/YHL032C/YIL053W/YML070W/YIL155C",10
"GO:1902600","proton transmembrane transport","29/763","91/5539",0.318681318681319,2.31346765947028,5.04926444140555,6.4535428144036e-06,0.00014634649397586,0.00014634649397586,"YMR256C/YDR536W/YDL004W/YKL217W/YNR072W/YPR020W/YHR096C/YDR345C/YDL138W/YPL271W/YKL016C/YGL008C/YDL067C/YIL111W/YOL077W-A/YJR121W/YDR322C-A/YPR191W/YHR094C/YNL052W/YML123C/YLR038C/YDR529C/YLR295C/YEL069C/YLR395C/YML081C-A/YHR092C/YGR240C",29
"GO:1901136","carbohydrate derivative catabolic process","21/763","56/5539",0.375,2.72231323722149,5.17730339314582,7.32582998857419e-06,0.00016225028092223,0.00016225028092223,"YDL021W/YDR050C/YJR009C/YMR278W/YOL059W/YDL022W/YDR400W/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YNR071C/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",21
"GO:0045229","external encapsulating structure organization","52/763","208/5539",0.25,1.814875491481,4.78768057978134,7.48508758664291e-06,0.00016225028092223,0.00016225028092223,"YNL006W/YGR225W/YDR144C/YJL116C/YCR089W/YBR043C/YLR300W/YKL096W/YMR215W/YMR176W/YBR067C/YKL165C/YJL159W/YER011W/YNL194C/YJL158C/YNL066W/YKL096W-A/YJR151C/YOL132W/YKR019C/YDL049C/YHL028W/YOR009W/YLR390W/YLR436C/YER033C/YKL164C/YDL239C/YHR139C/YJR150C/YJR066W/YGR189C/YBR162C/YCR045C/YCR032W/YLR194C/YGR023W/YKR076W/YBL043W/YDR273W/YOR247W/YNR067C/YOR092W/YOR010C/YDL029W/YDR293C/YOL109W/YIL123W/YDR077W/YFR042W/YMR305C",52
"GO:0071555","cell wall organization","52/763","208/5539",0.25,1.814875491481,4.78768057978134,7.48508758664291e-06,0.00016225028092223,0.00016225028092223,"YNL006W/YGR225W/YDR144C/YJL116C/YCR089W/YBR043C/YLR300W/YKL096W/YMR215W/YMR176W/YBR067C/YKL165C/YJL159W/YER011W/YNL194C/YJL158C/YNL066W/YKL096W-A/YJR151C/YOL132W/YKR019C/YDL049C/YHL028W/YOR009W/YLR390W/YLR436C/YER033C/YKL164C/YDL239C/YHR139C/YJR150C/YJR066W/YGR189C/YBR162C/YCR045C/YCR032W/YLR194C/YGR023W/YKR076W/YBL043W/YDR273W/YOR247W/YNR067C/YOR092W/YOR010C/YDL029W/YDR293C/YOL109W/YIL123W/YDR077W/YFR042W/YMR305C",52
"GO:0006090","pyruvate metabolic process","17/763","40/5539",0.425,3.08528833551769,5.29006289323678,7.71419590658436e-06,0.00016479311255515,0.00016479311255515,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YFR055W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0006099","tricarboxylic acid cycle","14/763","30/5539",0.466666666666667,3.38776758409786,5.24110522171906,1.34578055483621e-05,0.000283382933975511,0.000283382933975512,"YNR001C/YLR174W/YPR001W/YNL037C/YNL117W/YJL200C/YPL262W/YER065C/YLR304C/YFR049W/YLR164W/YOL126C/YOR136W/YMR118C",14
"GO:0034308","primary alcohol metabolic process","14/763","31/5539",0.451612903225806,3.27848475880438,5.08436352675599,2.1463815974487e-05,0.00044560091192104,0.00044560091192104,"YPL061W/YGR087C/YLR134W/YPR121W/YGR144W/YLR044C/YFL053W/YMR170C/YDL085W/YMR145C/YOL086C/YML070W/YBR240C/YOL055C",14
