"gene_id","count"
"YCR106W",38
"YCR107W",13
"YCR108C",0
"YDL001W",48
"YDL002C",55
"YDL003W",5
"YDL004W",363
"YDL005C",71
"YDL006W",33
"YDL007C-A",0
"YDL007W",239
"YDL008W",23
"YDL009C",52
"YDL010W",109
"YDL011C",33
"YDL012C",10
"YDL013W",58
"YDL014W",22
"YDL015C",141
"YDL016C",8
"YDL017W",7
"YDL018C",28
"YDL019C",264
"YDL020C",302
"YDL021W",281
"YDL022C-A",4
"YDL022W",296
"YDL023C",75
"YDL024C",50
"YDL025C",105
"YDL025W-A",18
"YDL026W",16
"YDL027C",130
"YDL028C",79
"YDL029W",62
"YDL030W",47
"YDL031W",115
"YDL032W",3
"YDL033C",19
"YDL034W",10
"YDL035C",194
"YDL036C",14
"YDL037C",2
"YDL039C",8
"YDL040C",87
"YDL041W",4
"YDL042C",18
"YDL043C",10
"YDL044C",35
"YDL045C",45
"YDL045W-A",28
"YDL046W",71
"YDL047W",52
"YDL048C",424
"YDL049C",53
"YDL050C",18
"YDL051W",36
"YDL052C",36
"YDL053C",38
"YDL054C",64
"YDL055C",130
"YDL056W",101
"YDL057W",21
"YDL058W",163
"YDL059C",19
"YDL060W",51
"YDL061C",131
"YDL062W",1
"YDL063C",28
"YDL064W",11
"YDL065C",124
"YDL066W",231
"YDL067C",315
"YDL068W",13
"YDL069C",23
"YDL070W",281
"YDL071C",2
"YDL072C",109
"YDL073W",49
"YDL074C",121
"YDL075W",100
"YDL076C",54
"YDL077C",60
"YDL078C",250
"YDL079C",53
"YDL080C",41
"YDL081C",101
"YDL082W",54
"YDL083C",53
"YDL084W",156
"YDL085C-A",14
"YDL085W",36
"YDL086C-A",46
"YDL086W",88
"YDL087C",22
"YDL088C",99
"YDL089W",28
"YDL090C",48
"YDL091C",76
"YDL092W",38
"YDL093W",41
"YDL094C",5
"YDL095W",120
"YDL096C",17
"YDL097C",163
"YDL098C",15
"YDL099W",56
"YDL100C",96
"YDL101C",14
"YDL102W",68
"YDL103C",28
"YDL104C",15
"YDL105W",32
"YDL106C",49
"YDL107W",17
"YDL108W",23
"YDL109C",19
"YDL110C",432
"YDL111C",12
"YDL112W",72
"YDL113C",65
"YDL114W",6
"YDL114W-A",9
"YDL115C",106
"YDL116W",46
"YDL117W",37
"YDL118W",3
"YDL119C",18
"YDL120W",32
"YDL121C",9
"YDL122W",113
"YDL123W",22
"YDL124W",309
"YDL125C",159
"YDL126C",670
"YDL127W",11
"YDL128W",168
"YDL129W",13
"YDL130W",104
"YDL130W-A",128
"YDL131W",54
"YDL132W",89
"YDL133C-A",226
"YDL133W",49
"YDL134C",122
"YDL135C",42
"YDL136W",15
"YDL137W",227
"YDL138W",88
"YDL139C",33
"YDL140C",439
"YDL141W",10
"YDL142C",38
"YDL143W",127
"YDL144C",17
"YDL145C",200
"YDL146W",20
"YDL147W",357
"YDL148C",49
"YDL149W",115
"YDL150W",30
"YDL151C",3
"YDL152W",5
"YDL153C",67
"YDL154W",25
"YDL155W",50
"YDL156W",10
"YDL157C",29
"YDL158C",29
"YDL159C-B",9
"YDL159W",45
"YDL159W-A",0
"YDL160C",134
"YDL160C-A",11
"YDL161W",51
"YDL162C",0
"YDL163W",0
"YDL164C",25
"YDL165W",39
"YDL166C",15
"YDL167C",15
"YDL168W",251
"YDL169C",38
"YDL170W",120
"YDL171C",947
"YDL172C",32
"YDL173W",42
"YDL174C",172
"YDL175C",32
"YDL176W",44
"YDL177C",7
"YDL178W",100
"YDL179W",13
"YDL180W",40
"YDL181W",186
"YDL182W",38
"YDL183C",51
"YDL184C",72
"YDL185C-A",88
"YDL185W",730
"YDL186W",6
"YDL187C",2
"YDL188C",83
"YDL189W",19
"YDL190C",112
"YDL191W",9
"YDL192W",128
"YDL193W",29
"YDL194W",65
"YDL195W",172
"YDL196W",0
"YDL197C",31
"YDL198C",88
"YDL199C",58
"YDL200C",21
"YDL201W",20
"YDL202W",15
"YDL203C",38
"YDL204W",249
"YDL205C",92
"YDL206W",112
"YDL207W",87
"YDL208W",37
"YDL209C",18
"YDL210W",197
"YDL211C",3
"YDL212W",82
"YDL213C",51
"YDL214C",70
"YDL215C",347
"YDL216C",25
"YDL217C",8
"YDL218W",15
"YDL219W",8
"YDL220C",21
"YDL221W",12
"YDL222C",35
"YDL223C",986
"YDL224C",36
"YDL225W",55
"YDL226C",28
"YDL227C",7
"YDL228C",19
"YDL229W",54
"YDL230W",36
"YDL231C",318
"YDL232W",16
"YDL233W",33
"YDL234C",96
"YDL235C",45
"YDL236W",108
"YDL237W",101
"YDL238C",83
"YDL239C",376
"YDL240C-A",0
"YDL240W",60
"YDL241W",3
"YDL242W",5
"YDL243C",20
"YDL244W",0
"YDL245C",0
"YDL246C",0
"YDL247W",0
"YDL247W-A",0
"YDL248W",18
"YDR001C",486
"YDR002W",247
"YDR003W",41
"YDR003W-A",31
"YDR004W",35
"YDR005C",107
"YDR006C",225
"YDR007W",39
"YDR008C",22
"YDR009W",8
"YDR010C",5
"YDR011W",257
"YDR012W",23
"YDR013W",12
"YDR014W",31
"YDR014W-A",1
"YDR015C",0
"YDR016C",5
"YDR017C",141
"YDR018C",19
"YDR019C",46
"YDR020C",5
"YDR021W",20
"YDR022C",24
"YDR023W",163
"YDR024W",1
"YDR025W",42
"YDR026C",77
"YDR027C",135
"YDR028C",283
"YDR029W",31
"YDR030C",99
"YDR031W",64
"YDR032C",122
"YDR033W",668
"YDR034C",151
"YDR034C-A",0
"YDR034C-C",0
"YDR034C-D",0
"YDR034W-B",2
"YDR035W",143
"YDR036C",82
"YDR037W",201
"YDR038C",4
"YDR039C",0
"YDR040C",2
"YDR041W",35
"YDR042C",25
"YDR043C",216
"YDR044W",47
"YDR045C",14
"YDR046C",9
"YDR047W",48
"YDR048C",2
"YDR049W",51
"YDR050C",2696
"YDR051C",72
"YDR052C",94
"YDR053W",16
"YDR054C",83
"YDR055W",123
"YDR056C",74
"YDR057W",36
"YDR058C",58
"YDR059C",91
"YDR060W",79
"YDR061W",74
"YDR062W",90
"YDR063W",36
"YDR064W",188
"YDR065W",18
"YDR066C",8
"YDR067C",27
"YDR068W",55
"YDR069C",137
"YDR070C",622
"YDR071C",65
"YDR072C",72
"YDR073W",14
"YDR074W",730
"YDR075W",17
"YDR076W",33
"YDR077W",1996
"YDR078C",24
"YDR079C-A",22
"YDR079W",77
"YDR080W",53
"YDR081C",95
"YDR082W",25
"YDR083W",35
"YDR084C",29
"YDR085C",56
"YDR086C",104
"YDR087C",16
"YDR088C",28
"YDR089W",168
"YDR090C",101
"YDR091C",72
"YDR092W",60
"YDR093W",64
"YDR094W",0
"YDR095C",4
"YDR096W",170
"YDR097C",55
"YDR098C",28
"YDR098C-A",0
"YDR098C-B",0
"YDR099W",521
"YDR100W",43
"YDR101C",48
"YDR102C",3
"YDR103W",30
"YDR104C",77
"YDR105C",103
"YDR106W",3
"YDR107C",43
"YDR108W",30
"YDR109C",50
"YDR110W",56
"YDR111C",23
"YDR112W",7
"YDR113C",13
"YDR114C",9
"YDR115W",32
"YDR116C",56
"YDR117C",31
"YDR118W",42
"YDR118W-A",1
"YDR119W",106
"YDR119W-A",1273
"YDR120C",69
"YDR121W",21
"YDR122W",191
"YDR123C",24
"YDR124W",16
"YDR125C",22
"YDR126W",13
"YDR127W",138
"YDR128W",96
"YDR129C",240
"YDR130C",26
"YDR131C",43
"YDR132C",31
"YDR133C",110
"YDR135C",296
"YDR136C",2
"YDR137W",54
"YDR138W",54
"YDR139C",52
"YDR140W",44
"YDR141C",126
"YDR142C",15
"YDR143C",50
"YDR144C",7
"YDR145W",52
"YDR146C",1
"YDR147W",27
"YDR148C",284
"YDR149C",67
"YDR150W",585
"YDR151C",60
"YDR152W",37
"YDR153C",63
"YDR154C",20
"YDR155C",240
"YDR156W",5
"YDR157W",6
"YDR158W",145
"YDR159W",105
