"gene_id","count","log10_count"
"YBR074W",132,2.12385164096709
"YBR076C-A",18,1.27875360095283
"YBR076W",10,1.04139268515822
"YBR077C",50,1.70757017609794
"YBR078W",578,2.76267856372744
"YBR079C",136,2.13672056715641
"YBR080C",128,2.11058971029925
"YBR081C",121,2.08635983067475
"YBR082C",465,2.66838591669
"YBR083W",16,1.23044892137827
"YBR084C-A",437,2.6414741105041
"YBR084W",142,2.15533603746506
"YBR085C-A",235,2.37291200297011
"YBR085W",2,0.477121254719662
"YBR086C",195,2.29225607135648
"YBR087W",61,1.79239168949825
"YBR088C",82,1.91907809237607
"YBR089C-A",66,1.82607480270083
"YBR089W",48,1.69019608002851
"YBR090C",6,0.845098040014257
"YBR091C",46,1.67209785793572
"YBR092C",3,0.602059991327962
"YBR093C",8,0.954242509439325
"YBR094W",72,1.86332286012046
"YBR095C",67,1.83250891270624
"YBR096W",55,1.7481880270062
"YBR097W",109,2.04139268515822
"YBR098W",86,1.93951925261862
"YBR099C",32,1.51851393987789
"YBR101C",243,2.38738982633873
"YBR102C",54,1.74036268949424
"YBR103C-A",2,0.477121254719662
"YBR103W",63,1.80617997398389
"YBR104W",57,1.76342799356294
"YBR105C",98,1.99563519459755
"YBR106W",499,2.69897000433602
"YBR107C",29,1.47712125471966
"YBR108W",32,1.51851393987789
"YBR109C",203,2.3096301674259
"YBR109W-A",1,0.301029995663981
"YBR110W",80,1.90848501887865
"YBR111C",177,2.25042000230889
"YBR111W-A",36,1.56820172406699
"YBR112C",62,1.79934054945358
"YBR113W",16,1.23044892137827
"YBR114W",91,1.96378782734556
"YBR115C",235,2.37291200297011
"YBR116C",2,0.477121254719662
"YBR117C",10,1.04139268515822
"YBR118W",94,1.97772360528885
"YBR119W",36,1.56820172406699
"YBR120C",52,1.72427586960079
"YBR121C",279,2.44715803134222
"YBR121C-A",0,0
"YBR122C",157,2.19865708695442
"YBR123C",44,1.65321251377534
"YBR124W",3,0.602059991327962
"YBR125C",57,1.76342799356294
"YBR126C",223,2.35024801833416
"YBR126W-A",14,1.17609125905568
"YBR126W-B",2,0.477121254719662
"YBR127C",630,2.80002935924413
"YBR128C",23,1.38021124171161
"YBR129C",59,1.77815125038364
"YBR130C",54,1.74036268949424
"YBR131C-A",2,0.477121254719662
"YBR131W",28,1.46239799789896
"YBR132C",56,1.75587485567249
"YBR133C",68,1.83884909073726
"YBR134W",3,0.602059991327962
"YBR135W",27,1.44715803134222
"YBR136W",112,2.05307844348342
"YBR137W",39,1.60205999132796
"YBR138C",26,1.43136376415899
"YBR139W",229,2.36172783601759
"YBR140C",447,2.65127801399814
"YBR141C",13,1.14612803567824
"YBR141W-A",3,0.602059991327962
"YBR142W",63,1.80617997398389
"YBR143C",228,2.35983548233989
"YBR144C",2,0.477121254719662
"YBR145W",65,1.81954393554187
"YBR146W",200,2.30319605742049
"YBR147W",111,2.04921802267018
"YBR148W",39,1.60205999132796
"YBR149W",330,2.51982799377572
"YBR150C",51,1.7160033436348
"YBR151W",168,2.22788670461367
"YBR152W",9,1
"YBR153W",24,1.39794000867204
"YBR154C",60,1.78532983501077
"YBR155W",45,1.66275783168157
"YBR156C",23,1.38021124171161
"YBR157C",7,0.903089986991944
"YBR158W",46,1.67209785793572
"YBR159W",192,2.28555730900777
"YBR160W",28,1.46239799789896
"YBR161W",71,1.85733249643127
"YBR162C",370,2.56937390961505
"YBR162W-A",99,2
"YBR163W",64,1.81291335664286
"YBR164C",56,1.75587485567249
"YBR165W",61,1.79239168949825
"YBR166C",62,1.79934054945358
"YBR167C",22,1.36172783601759
"YBR168W",21,1.34242268082221
"YBR169C",266,2.42651126136458
"YBR170C",97,1.99122607569249
"YBR171W",25,1.41497334797082
"YBR172C",109,2.04139268515822
"YBR173C",214,2.33243845991561
"YBR174C",7,0.903089986991944
"YBR175W",32,1.51851393987789
"YBR176W",52,1.72427586960079
"YBR177C",102,2.01283722470517
"YBR178W",9,1
"YBR179C",136,2.13672056715641
"YBR180W",3,0.602059991327962
"YBR181C",29,1.47712125471966
"YBR182C",89,1.95424250943932
"YBR182C-A",2,0.477121254719662
"YBR183W",71,1.85733249643127
"YBR184W",9,1
"YBR185C",126,2.10380372095596
"YBR186W",21,1.34242268082221
"YBR187W",55,1.7481880270062
"YBR188C",31,1.50514997831991
"YBR189W",342,2.53529412004277
"YBR190W",7,0.903089986991944
"YBR191W",155,2.19312459835446
"YBR191W-A",6,0.845098040014257
"YBR192W",58,1.77085201164214
"YBR193C",27,1.44715803134222
"YBR194W",11,1.07918124604762
"YBR195C",26,1.43136376415899
"YBR196C",561,2.74973631556906
"YBR196C-A",2,0.477121254719662
"YBR196C-B",0,0
"YBR197C",8,0.954242509439325
"YBR198C",62,1.79934054945358
"YBR199W",232,2.36735592102602
"YBR200W",92,1.96848294855394
"YBR200W-A",6,0.845098040014257
"YBR201C-A",75,1.88081359228079
"YBR201W",38,1.5910646070265
"YBR202W",62,1.79934054945358
"YBR203W",164,2.21748394421391
"YBR204C",46,1.67209785793572
"YBR205W",76,1.88649072517248
"YBR206W",3,0.602059991327962
"YBR207W",78,1.89762709129044
"YBR208C",419,2.6232492903979
"YBR209W",3,0.602059991327962
"YBR210W",59,1.77815125038364
"YBR211C",30,1.49136169383427
"YBR212W",40,1.61278385671974
"YBR213W",4,0.698970004336019
"YBR214W",63,1.80617997398389
"YBR215W",61,1.79239168949825
"YBR216C",79,1.90308998699194
"YBR217W",14,1.17609125905568
"YBR218C",135,2.13353890837022
"YBR219C",0,0
