"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"tS(GCU)F",0,0,0,0,0,0
"tS(GCU)O",0,2,0,0,0,1
"tS(GCU)Q1",4,0,4,0,0,1
"tS(UGA)E",0,1,1,1,1,1
"tS(UGA)I",0,0,0,0,0,0
"tS(UGA)P",0,0,1,0,0,1
"tS(UGA)Q2",3,4,8,0,1,2
"tT(AGU)B",1,0,0,0,0,0
"tT(AGU)C",0,0,0,0,0,0
"tT(AGU)D",0,0,0,0,0,0
"tT(AGU)H",0,1,0,0,0,0
"tT(AGU)I1",0,0,0,0,0,0
"tT(AGU)I2",0,0,1,0,0,0
"tT(AGU)J",0,0,0,0,0,0
"tT(AGU)N1",0,0,0,0,0,0
"tT(AGU)N2",0,0,0,0,0,0
"tT(AGU)O1",0,0,0,0,0,0
"tT(AGU)O2",0,0,0,0,0,0
"tT(CGU)K",1,1,0,1,0,0
"tT(UAG)Q2",2,0,0,1,1,1
"tT(UGU)G1",0,0,0,0,0,0
"tT(UGU)G2",0,0,1,0,0,0
"tT(UGU)H",0,0,0,0,0,0
"tT(UGU)P",0,0,0,0,0,0
"tT(UGU)Q1",0,1,0,0,0,0
"tV(AAC)E1",0,0,0,0,0,0
"tV(AAC)E2",1,0,0,1,0,1
"tV(AAC)G1",0,0,1,1,1,1
"tV(AAC)G2",0,0,0,0,0,0
"tV(AAC)G3",0,0,0,0,0,0
"tV(AAC)H",0,0,0,0,0,0
"tV(AAC)J",0,0,0,0,0,0
"tV(AAC)K1",0,0,0,0,0,0
"tV(AAC)K2",0,0,0,0,1,0
"tV(AAC)L",0,0,0,0,0,0
"tV(AAC)M1",0,0,0,0,0,0
"tV(AAC)M2",0,1,0,1,0,0
"tV(AAC)M3",0,0,0,0,0,0
"tV(AAC)O",0,1,0,0,0,0
"tV(CAC)D",0,0,0,0,0,0
"tV(CAC)H",0,1,0,0,0,0
"tV(UAC)B",0,0,1,0,0,0
"tV(UAC)D",1,0,2,0,0,0
"tV(UAC)Q",4,2,0,0,0,2
"tW(CCA)G1",0,0,0,0,0,0
"tW(CCA)G2",0,0,0,0,0,0
"tW(CCA)J",0,0,1,0,2,0
"tW(CCA)K",0,0,0,0,0,0
"tW(CCA)M",0,1,0,0,0,0
"tW(CCA)P",0,0,0,0,1,0
"tW(UCA)Q",0,4,0,0,2,0
"tX(XXX)D",0,0,0,0,0,0
"tX(XXX)L",0,0,0,0,0,0
"tY(GUA)D",0,0,0,0,0,0
"tY(GUA)F1",0,0,0,0,0,0
"tY(GUA)F2",0,0,0,0,0,0
"tY(GUA)J1",0,0,0,0,0,0
"tY(GUA)J2",0,0,0,0,0,0
"tY(GUA)M1",1,0,0,0,0,0
"tY(GUA)M2",0,0,0,0,0,0
"tY(GUA)O",0,0,0,0,0,0
"tY(GUA)Q",1,1,1,0,1,3
"YAL001C",109,110,53,109,133,132
"YAL002W",41,41,20,69,75,76
"YAL003W",423,376,154,202,263,232
"YAL004W",98,82,51,70,86,75
"YAL005C",745,972,434,542,675,615
"YAL007C",86,80,52,22,17,21
"YAL008W",78,44,38,71,71,78
"YAL009W",26,23,18,37,21,37
"YAL010C",32,29,7,13,15,10
